	name	encoding
0	& C:/Users/vinit/AppData/Local/Microsoft/WindowsApps/python3.10.exe c:/Users/vinit/Desktop/upflairs/day-9_face-register.py	[-0.21722710132598877, 0.05828364938497543, 0.08066819608211517, -0.01359288115054369, -0.07639393955469131, -0.10380983352661133, -0.05218977481126785, -0.09340787678956985, 0.10359213501214981, -0.042102258652448654, 0.27272218465805054, -0.0756438821554184, -0.1718495786190033, -0.1197776347398758, 0.02143052965402603, 0.08266998827457428, -0.09480641037225723, -0.11996406316757202, -0.0859861671924591, -0.17659622430801392, -0.014965037815272808, -0.04907155781984329, 0.027083763852715492, 0.07209637016057968, -0.17892932891845703, -0.4018561542034149, -0.10653669387102127, -0.13171374797821045, 0.028428975492715836, -0.0853792279958725, -0.015074408613145351, 0.0480780303478241, -0.23070892691612244, -0.0975884199142456, -0.051354147493839264, 0.13141529262065887, 0.02958730235695839, -0.03410138934850693, 0.17248307168483734, -0.02726978063583374, -0.1182691752910614, 0.060057640075683594, 0.03435533493757248, 0.27991122007369995, 0.1681027114391327, 0.015049219131469727, 0.04973893612623215, -0.008250601589679718, 0.11299315840005875, -0.12596864998340607, 0.117369145154953, 0.1346096247434616, 0.14794957637786865, -0.006772416643798351, 0.061719946563243866, -0.08952654898166656, -0.00034198537468910217, 0.19289834797382355, -0.20106123387813568, 0.06790327280759811, 0.058134011924266815, -0.08611606061458588, -0.06298481673002243, -0.054649610072374344, 0.22428420186042786, 0.1678103804588318, -0.07062570750713348, -0.06281901895999908, 0.16130110621452332, -0.07484397292137146, 0.046652454882860184, 0.044807031750679016, -0.14006640017032623, -0.1804160624742508, -0.2727917432785034, 0.18723462522029877, 0.4060085713863373, 0.10347436368465424, -0.1996971219778061, 0.03899060934782028, -0.11208507418632507, -0.006967953871935606, 0.07189616560935974, 0.005715536884963512, -0.11375825107097626, -0.03065965510904789, -0.13958238065242767, 0.06825920939445496, 0.1552734673023224, 0.07687843590974808, -0.017588499933481216, 0.16826483607292175, -0.005897462368011475, -0.001842035911977291, 0.07415539026260376, 0.026551097631454468, -0.1667981743812561, -0.0351642444729805, -0.08707403391599655, -0.01933978870511055, 0.06665465980768204, -0.11700524389743805, -0.023937547579407692, 0.00628600362688303, -0.17976385354995728, 0.09697481244802475, 0.019999437034130096, -0.014369554817676544, -0.028537333011627197, 0.02273784950375557, -0.03454948216676712, -0.051246508955955505, 0.12791775166988373, -0.25223472714424133, 0.1685730516910553, 0.13093560934066772, 0.011796098202466965, 0.24107465147972107, 0.08009135723114014, 0.07006291300058365, -0.036691099405288696, -0.018798483535647392, -0.10128948092460632, -0.027726946398615837, 0.07561509311199188, -0.001117439940571785, 0.11798971146345139, 0.07824590057134628]
1	& C:/Users/vinit/AppData/Local/Microsoft/WindowsApps/python3.10.exe c:/Users/vinit/Desktop/upflairs/day-9_face-register.py	[-0.22551843523979187, 0.0600857250392437, 0.10547016561031342, -0.01371097657829523, -0.07795428484678268, -0.10090885311365128, -0.07634469866752625, -0.08619613945484161, 0.11227350682020187, -0.030740290880203247, 0.27453967928886414, -0.07656630128622055, -0.16702932119369507, -0.1032363623380661, -0.004427063278853893, 0.08121286332607269, -0.0763210654258728, -0.09528664499521255, -0.08862943202257156, -0.15503975749015808, -0.033585451543331146, -0.04717284068465233, 0.039084747433662415, 0.06028725206851959, -0.17404350638389587, -0.3964163362979889, -0.10926388204097748, -0.1270037144422531, -0.001142924651503563, -0.060908976942300797, -0.020025212317705154, 0.07502546906471252, -0.20317162573337555, -0.11030634492635727, -0.033102117478847504, 0.1256646066904068, 0.0034943148493766785, -0.02666408196091652, 0.18556007742881775, 0.00022756867110729218, -0.12811647355556488, 0.06731545925140381, 0.028514932841062546, 0.29932987689971924, 0.17608629167079926, 0.027385305613279343, 0.05810460448265076, -0.04213237017393112, 0.12050372362136841, -0.13478752970695496, 0.11007800698280334, 0.16937856376171112, 0.14248831570148468, 0.0016539627686142921, 0.07245538383722305, -0.06374501436948776, 0.012133091688156128, 0.1571015566587448, -0.17205795645713806, 0.0643904060125351, 0.06952857226133347, -0.07054737210273743, -0.07392212748527527, -0.0834667980670929, 0.21897099912166595, 0.17359007894992828, -0.08894072473049164, -0.04931006580591202, 0.16672588884830475, -0.055900491774082184, 0.02025795727968216, 0.06062709912657738, -0.15597055852413177, -0.19369098544120789, -0.27737241983413696, 0.17551927268505096, 0.4178377389907837, 0.11489379405975342, -0.20878231525421143, 0.022885750979185104, -0.12555156648159027, -0.013678640127182007, 0.046735767275094986, 0.04281177371740341, -0.12767547369003296, -0.019256606698036194, -0.09472290426492691, 0.044810011982917786, 0.16203776001930237, 0.06431205570697784, -0.027653001248836517, 0.18046319484710693, 0.02410556562244892, 0.002910139039158821, 0.07260256260633469, 0.0311728622764349, -0.1461397409439087, -0.05641369894146919, -0.11546489596366882, -0.03690703958272934, 0.08641496300697327, -0.11584051698446274, -0.01357723493129015, 0.006574257276952267, -0.20328237116336823, 0.115880087018013, 0.032529670745134354, -0.013084262609481812, -0.0007159244269132614, 0.028020450845360756, -0.03216647356748581, -0.045414604246616364, 0.14430008828639984, -0.23993456363677979, 0.15644608438014984, 0.1269579529762268, 0.04166823625564575, 0.21999090909957886, 0.1115361899137497, 0.07517730444669724, -0.04420989751815796, -0.008964968845248222, -0.0643995851278305, -0.051435377448797226, 0.06426877528429031, 0.021738745272159576, 0.10586846619844437, 0.07552278786897659]
2	& C:/Users/vinit/AppData/Local/Microsoft/WindowsApps/python3.10.exe c:/Users/vinit/Desktop/upflairs/day-9_face-register.py	[-0.22877061367034912, 0.059410836547613144, 0.10683693736791611, -0.046356022357940674, -0.09613819420337677, -0.09222015738487244, -0.037279870361089706, -0.07760491222143173, 0.10277993232011795, -0.04455678537487984, 0.30979400873184204, -0.08584895730018616, -0.18622322380542755, -0.0973425805568695, 0.003447047434747219, 0.08154916763305664, -0.06376708298921585, -0.11196978390216827, -0.07677049189805984, -0.1498388946056366, -0.02385634556412697, -0.03174120560288429, 0.018793754279613495, 0.0613132119178772, -0.16124510765075684, -0.3975708484649658, -0.10397740453481674, -0.1013050526380539, -0.021489566192030907, -0.0748618021607399, -0.0037344684824347496, 0.10339028388261795, -0.2145446240901947, -0.0908738449215889, -0.04136083275079727, 0.12460166215896606, 0.016115445643663406, -0.027647269889712334, 0.16930702328681946, -0.001791827380657196, -0.12712721526622772, 0.057884011417627335, 0.04159471392631531, 0.28252696990966797, 0.13965041935443878, 0.010240721516311169, 0.05606980621814728, -0.03581021726131439, 0.08725752681493759, -0.13347239792346954, 0.1190701425075531, 0.13994453847408295, 0.14731670916080475, -0.022399626672267914, 0.07676102966070175, -0.10116137564182281, -0.013572458177804947, 0.15101419389247894, -0.1546376347541809, 0.06186070665717125, 0.042718593031167984, -0.0721445381641388, -0.07055892050266266, -0.1096804216504097, 0.2244875133037567, 0.16092786192893982, -0.07499879598617554, -0.07241792976856232, 0.18517164885997772, -0.036968596279621124, -0.011131812818348408, 0.06441337615251541, -0.1578233391046524, -0.18017515540122986, -0.2882953882217407, 0.19459371268749237, 0.39141935110092163, 0.10305345803499222, -0.20357215404510498, 0.05025964975357056, -0.12088659405708313, -0.010137132368981838, 0.0202326662838459, 0.0269487164914608, -0.1286396086215973, -0.002473067492246628, -0.11529691517353058, 0.04772308096289635, 0.16498398780822754, 0.06944115459918976, -0.05212026461958885, 0.18450166285037994, 0.0005261413753032684, 0.01883692480623722, 0.07870246469974518, 0.006440628319978714, -0.12735363841056824, -0.047579213976860046, -0.12232105433940887, -0.03322608023881912, 0.0741501972079277, -0.13595467805862427, -0.04352416470646858, 0.0393497571349144, -0.21904456615447998, 0.08817369490861893, 0.014177787117660046, -0.020275024697184563, -0.025854866951704025, 0.045517612248659134, -0.041604846715927124, -0.035400133579969406, 0.12690216302871704, -0.26477691531181335, 0.15648223459720612, 0.1271914541721344, 0.05602617934346199, 0.22544880211353302, 0.1301056295633316, 0.05425471067428589, -0.018717220053076744, -0.016787048429250717, -0.09056282043457031, -0.044249389320611954, 0.09324608743190765, 0.013054439797997475, 0.097820945084095, 0.10626532137393951]
3	& C:/Users/vinit/AppData/Local/Microsoft/WindowsApps/python3.10.exe c:/Users/vinit/Desktop/upflairs/day-9_face-register.py	[-0.23689398169517517, 0.04889979958534241, 0.0775722786784172, -0.061297982931137085, -0.07393789291381836, -0.09595901519060135, -0.06086425483226776, -0.08218687772750854, 0.12185278534889221, -0.0436200387775898, 0.29292386770248413, -0.06426966935396194, -0.15915551781654358, -0.11138056218624115, -0.011861119419336319, 0.09013772010803223, -0.08033891767263412, -0.1021047979593277, -0.0737098753452301, -0.16560764610767365, -0.03064986690878868, -0.04777222499251366, 0.020037880167365074, 0.07710618525743484, -0.1714702695608139, -0.3782978951931, -0.1104467511177063, -0.12751343846321106, -0.007868779823184013, -0.08475036919116974, -0.007990969344973564, 0.09787626564502716, -0.19323311746120453, -0.08642441034317017, -0.03502902388572693, 0.12965108454227448, 0.014122710563242435, -0.029108744114637375, 0.18414336442947388, 0.0031254077330231667, -0.1200285330414772, 0.06806878000497818, 0.04139073193073273, 0.2935607433319092, 0.17741629481315613, 0.015690991654992104, 0.045855291187763214, -0.04359623044729233, 0.12786775827407837, -0.1434486210346222, 0.12536190450191498, 0.13583265244960785, 0.155931755900383, -0.012870502658188343, 0.09590635448694229, -0.09681950509548187, 0.005035463720560074, 0.166733056306839, -0.1742442548274994, 0.053308770060539246, 0.02741144225001335, -0.06590203940868378, -0.06956052780151367, -0.0929657518863678, 0.2178250104188919, 0.17918013036251068, -0.09359835088253021, -0.05258897691965103, 0.19027982652187347, -0.04014652222394943, 0.009426821023225784, 0.07011456787586212, -0.15130466222763062, -0.20031626522541046, -0.28359851241111755, 0.19625550508499146, 0.3927023708820343, 0.14345739781856537, -0.2042601853609085, 0.04325652867555618, -0.11107399314641953, -0.019089406356215477, 0.037945620715618134, 0.03054182231426239, -0.14175736904144287, -0.036593981087207794, -0.097562775015831, 0.03333635255694389, 0.14921952784061432, 0.08660828322172165, -0.04573990777134895, 0.17920327186584473, 0.0038396790623664856, 0.022579185664653778, 0.05546637624502182, 0.023562390357255936, -0.15021033585071564, -0.04262306168675423, -0.11644947528839111, -0.04556479677557945, 0.07718038558959961, -0.10786242038011551, -0.025501960888504982, 0.04206371307373047, -0.21627211570739746, 0.10309252142906189, 0.0200396366417408, -0.023267511278390884, -0.03046645224094391, 0.0416015200316906, -0.02327636256814003, -0.0195915549993515, 0.1207227036356926, -0.2640964686870575, 0.15649616718292236, 0.12942908704280853, 0.05657422915101051, 0.23082274198532104, 0.1283876746892929, 0.04181662201881409, -0.02039933204650879, -0.03189736604690552, -0.09153503179550171, -0.034818533807992935, 0.08915379643440247, 0.008639977313578129, 0.1050594374537468, 0.09243952482938766]
4	& C:/Users/vinit/AppData/Local/Microsoft/WindowsApps/python3.10.exe c:/Users/vinit/Desktop/upflairs/day-9_face-register.py	[-0.23148243129253387, 0.04848398268222809, 0.09589049220085144, -0.04345208778977394, -0.07888641208410263, -0.08621443808078766, -0.07205644249916077, -0.0723024234175682, 0.11211330443620682, -0.04644296318292618, 0.27689114212989807, -0.07630223035812378, -0.18106317520141602, -0.10024280846118927, 0.007911572232842445, 0.0823461264371872, -0.10472305119037628, -0.11533894389867783, -0.07477778941392899, -0.14314457774162292, -0.033482786267995834, -0.01854897476732731, 0.03821682557463646, 0.09065406769514084, -0.17753079533576965, -0.4169575273990631, -0.09479790925979614, -0.11807043850421906, -0.006566379219293594, -0.06995635479688644, -0.021092988550662994, 0.09636591374874115, -0.18687401711940765, -0.07705001533031464, -0.034060828387737274, 0.1240883320569992, 0.03237619251012802, -0.03091081604361534, 0.1958937793970108, -0.005145399831235409, -0.14753152430057526, 0.031331390142440796, 0.033890217542648315, 0.30718886852264404, 0.17307128012180328, 0.012792488560080528, 0.03398497775197029, -0.014155928045511246, 0.11840265989303589, -0.1482212245464325, 0.13042815029621124, 0.16555674374103546, 0.15177761018276215, -0.035710547119379044, 0.08047794550657272, -0.06315367668867111, -0.014970241114497185, 0.17796635627746582, -0.1778758019208908, 0.050925809890031815, 0.043559081852436066, -0.06500698626041412, -0.045196518301963806, -0.10217389464378357, 0.21344289183616638, 0.16554905474185944, -0.09824083000421524, -0.036581553518772125, 0.16509875655174255, -0.0602283701300621, -0.00012681493535637856, 0.04753384366631508, -0.16157305240631104, -0.19574281573295593, -0.29817408323287964, 0.15041287243366241, 0.37463387846946716, 0.11955773085355759, -0.21086782217025757, 0.030586283653974533, -0.0894637256860733, -0.02824483998119831, 0.05178786814212799, 0.048355672508478165, -0.14440177381038666, -0.012540725991129875, -0.10026822239160538, 0.055376939475536346, 0.16286543011665344, 0.09734000265598297, -0.04568088799715042, 0.1908617466688156, 0.013616595417261124, -1.5881843864917755e-05, 0.08390925824642181, 0.029372334480285645, -0.1221897229552269, -0.06727607548236847, -0.13748721778392792, -0.014397520571947098, 0.06362900882959366, -0.09430491924285889, -0.033411283046007156, 0.03966331481933594, -0.2044706642627716, 0.09813053905963898, 0.033832281827926636, -0.022707190364599228, -0.010273830965161324, 0.0327160581946373, -0.04956281930208206, -0.06089625135064125, 0.13865536451339722, -0.2336324006319046, 0.11141552031040192, 0.12025505304336548, 0.05942389741539955, 0.22449976205825806, 0.10094483941793442, 0.041111789643764496, -0.0356283076107502, -0.026771964505314827, -0.09150025248527527, -0.039350613951683044, 0.10665913671255112, -0.0020699091255664825, 0.12552306056022644, 0.08547061681747437]
5	& C:/Users/vinit/AppData/Local/Microsoft/WindowsApps/python3.10.exe c:/Users/vinit/Desktop/upflairs/day-9_face-register.py	[-0.21877329051494598, 0.04598742723464966, 0.07635249197483063, -0.03991391137242317, -0.05509978532791138, -0.10122363269329071, -0.07019791007041931, -0.09235937893390656, 0.1269831359386444, -0.058145467191934586, 0.2632988393306732, -0.057621169835329056, -0.15754082798957825, -0.09448635578155518, 0.011577485129237175, 0.07971786707639694, -0.10249577462673187, -0.12121027708053589, -0.09300053119659424, -0.15367534756660461, -0.04219881445169449, -0.0210068691521883, 0.04013188183307648, 0.06593094766139984, -0.2001379132270813, -0.3938349783420563, -0.11370339244604111, -0.1287187933921814, 0.0009166747331619263, -0.06188950315117836, -0.01669303886592388, 0.07799161225557327, -0.20773321390151978, -0.07768938690423965, -0.026650400832295418, 0.1171257346868515, 0.05147242173552513, -0.01597757264971733, 0.1907508373260498, 0.004005711525678635, -0.14778020977973938, 0.03576746582984924, 0.047895677387714386, 0.2866291403770447, 0.1787165105342865, 0.02226412668824196, 0.024721112102270126, -0.023355331271886826, 0.10182565450668335, -0.13377103209495544, 0.14051593840122223, 0.13012585043907166, 0.142694354057312, -0.022487539798021317, 0.08556412160396576, -0.09207655489444733, -0.0038494840264320374, 0.15597471594810486, -0.18755152821540833, 0.050950925797224045, 0.05349920690059662, -0.05981491133570671, -0.06196299195289612, -0.063139908015728, 0.22096432745456696, 0.17705610394477844, -0.09062612801790237, -0.04941904544830322, 0.17746540904045105, -0.0785849541425705, 0.023164968937635422, 0.0380418598651886, -0.1401870995759964, -0.1896839141845703, -0.31462419033050537, 0.1561613380908966, 0.3851279318332672, 0.13265040516853333, -0.2078445851802826, 0.03841577470302582, -0.08769407123327255, -0.02068878337740898, 0.06103186309337616, 0.027921421453356743, -0.16341200470924377, 0.005028998479247093, -0.09960253536701202, 0.05421225726604462, 0.1616344451904297, 0.10972525179386139, -0.04860660061240196, 0.1835741549730301, -0.009164063259959221, 0.0009036911651492119, 0.08572973310947418, 0.03166649863123894, -0.14277254045009613, -0.07458413392305374, -0.13799749314785004, -0.02413104847073555, 0.0769256055355072, -0.09020441770553589, -0.02186204306781292, 0.06708510220050812, -0.19485196471214294, 0.08924254775047302, 0.020883258432149887, -0.04348011687397957, -0.022657467052340508, 0.06557947397232056, -0.04846581816673279, -0.07633160054683685, 0.1293855458498001, -0.22448858618736267, 0.121843621134758, 0.12202673405408859, 0.03874239698052406, 0.22489456832408905, 0.11251380294561386, 0.05645208805799484, -0.03972191363573074, 0.0038111573085188866, -0.10035134851932526, -0.03698340430855751, 0.08473379909992218, -0.0028534745797514915, 0.14059792459011078, 0.09721358865499496]
6	& C:/Users/vinit/AppData/Local/Microsoft/WindowsApps/python3.10.exe c:/Users/vinit/Desktop/upflairs/day-9_face-register.py	[-0.24858111143112183, 0.05200033262372017, 0.0819263756275177, -0.04232543706893921, -0.05750897899270058, -0.09472990781068802, -0.06876613199710846, -0.12343551218509674, 0.13932059705257416, -0.05636683851480484, 0.27302494645118713, -0.029126163572072983, -0.1873766928911209, -0.13355664908885956, 0.016838252544403076, 0.08417706191539764, -0.09822443872690201, -0.13397444784641266, -0.071418896317482, -0.1530039757490158, -0.04598147049546242, -0.03686155751347542, 0.0406913086771965, 0.08491114526987076, -0.19147320091724396, -0.39087674021720886, -0.11719624698162079, -0.12276352196931839, -0.011026941239833832, -0.07467025518417358, -0.008341319859027863, 0.06251619756221771, -0.21924130618572235, -0.09916339814662933, -0.03818182274699211, 0.13861121237277985, 0.02700701728463173, -0.03133267164230347, 0.1968301236629486, -0.012580469250679016, -0.1487012803554535, 0.037515394389629364, 0.0403604619204998, 0.27427083253860474, 0.1600683033466339, -0.0008577703265473247, 0.05513263866305351, -0.03644825518131256, 0.10437426716089249, -0.12529903650283813, 0.11554867774248123, 0.14983539283275604, 0.15560561418533325, -0.030872566625475883, 0.056931525468826294, -0.1131768673658371, -0.015405159443616867, 0.18239937722682953, -0.1781492531299591, 0.06215068697929382, 0.051374465227127075, -0.0845285952091217, -0.07517918199300766, -0.0414913184940815, 0.2172938585281372, 0.169864222407341, -0.09987162053585052, -0.06356745958328247, 0.20200499892234802, -0.05366844683885574, 0.025837194174528122, 0.06512380391359329, -0.14886346459388733, -0.21292252838611603, -0.2891305685043335, 0.17368321120738983, 0.4057149887084961, 0.10861944407224655, -0.20046670734882355, 0.044091857969760895, -0.14003659784793854, -0.007331153843551874, 0.01842143014073372, 0.03843555971980095, -0.13865387439727783, -0.005933923646807671, -0.10837284475564957, 0.054745741188526154, 0.15751557052135468, 0.1203380823135376, -0.033942945301532745, 0.18583856523036957, 0.019437650218605995, 0.014296992681920528, 0.08464673906564713, 0.04404031112790108, -0.13822756707668304, -0.05795610696077347, -0.12024562060832977, -0.03073725290596485, 0.08013051003217697, -0.10408222675323486, -0.0008753580041229725, 0.05057812109589577, -0.20267555117607117, 0.11324835568666458, 0.04196310415863991, -0.028613928705453873, -0.0030873892828822136, 0.061760060489177704, -0.031214401125907898, -0.06921029090881348, 0.1323924958705902, -0.25905975699424744, 0.15266825258731842, 0.13657842576503754, 0.044101543724536896, 0.24174389243125916, 0.11138973385095596, 0.07161173224449158, -0.03074219822883606, -0.021676665171980858, -0.09792906045913696, -0.03926978260278702, 0.07616574317216873, -0.009420174174010754, 0.1391952782869339, 0.09574230760335922]
7	& C:/Users/vinit/AppData/Local/Microsoft/WindowsApps/python3.10.exe c:/Users/vinit/Desktop/upflairs/day-9_face-register.py	[-0.21485348045825958, 0.03859937936067581, 0.07413100451231003, -0.06315269321203232, -0.040120817720890045, -0.08911695331335068, -0.08976081758737564, -0.07629915326833725, 0.12194333970546722, -0.04777811840176582, 0.26576894521713257, -0.02115696482360363, -0.18642772734165192, -0.14409270882606506, 0.03082340955734253, 0.07744453102350235, -0.10553094744682312, -0.1342662125825882, -0.06196429952979088, -0.18028569221496582, -0.05084604397416115, -0.007249657064676285, 0.01854068785905838, 0.08279773592948914, -0.1996387243270874, -0.38843172788619995, -0.11327395588159561, -0.1410457193851471, -0.021768614649772644, -0.08308440446853638, -0.0037496639415621758, 0.07625876367092133, -0.20276162028312683, -0.07779642939567566, -0.016889099031686783, 0.1404278576374054, 0.03284277021884918, -0.02695584110915661, 0.19153574109077454, -0.004730088636279106, -0.12253372371196747, 0.029529958963394165, 0.050737008452415466, 0.2866193950176239, 0.16897551715373993, -0.0005758889019489288, 0.05647195503115654, 0.0037562772631645203, 0.12972885370254517, -0.14327596127986908, 0.1328374743461609, 0.152479350566864, 0.15224401652812958, -0.025253131985664368, 0.06819550693035126, -0.11615928262472153, -0.03561806678771973, 0.1975027322769165, -0.19386112689971924, 0.0755755752325058, 0.026918532326817513, -0.08581417053937912, -0.08800486475229263, -0.04876696690917015, 0.2224723845720291, 0.17969538271427155, -0.12004736810922623, -0.08571934700012207, 0.20584022998809814, -0.07174797356128693, 0.016735093668103218, 0.0649120956659317, -0.1561795473098755, -0.1963072121143341, -0.2857030928134918, 0.17995956540107727, 0.3761894404888153, 0.10546255856752396, -0.1898370236158371, 0.06338472664356232, -0.12118174135684967, -0.014919573441147804, 0.015265206806361675, 0.029774481430649757, -0.13408821821212769, 0.007159514352679253, -0.10024198144674301, 0.058683328330516815, 0.1672329604625702, 0.1256795972585678, -0.044843435287475586, 0.18178610503673553, -0.00681704469025135, 0.036156896501779556, 0.08693350851535797, 0.032930996268987656, -0.1285758763551712, -0.07524804770946503, -0.12632110714912415, -0.016303222626447678, 0.061421312391757965, -0.10798502713441849, -0.01600583642721176, 0.051651306450366974, -0.17557796835899353, 0.11150588095188141, 0.03473418951034546, -0.016040313988924026, -0.031686749309301376, 0.06714502722024918, -0.05110695958137512, -0.06741116940975189, 0.14247705042362213, -0.26164183020591736, 0.14922916889190674, 0.11949501186609268, 0.06115394085645676, 0.23726162314414978, 0.11533231288194656, 0.0528627410531044, -0.02224442921578884, -0.04841504618525505, -0.12004954367876053, -0.04007045179605484, 0.07308483868837357, -0.0013792533427476883, 0.13001586496829987, 0.0939251258969307]
8	& C:/Users/vinit/AppData/Local/Microsoft/WindowsApps/python3.10.exe c:/Users/vinit/Desktop/upflairs/day-9_face-register.py	[-0.23180441558361053, 0.03698822110891342, 0.08008773624897003, -0.058895260095596313, -0.062118273228406906, -0.08902326971292496, -0.0656924769282341, -0.09240540117025375, 0.13622930645942688, -0.05442512780427933, 0.30336591601371765, -0.04635322093963623, -0.1690594106912613, -0.1187090128660202, -0.0023692967370152473, 0.09157223999500275, -0.11671002209186554, -0.09783578664064407, -0.06919622421264648, -0.13849301636219025, -0.03499944880604744, -0.035626258701086044, 0.041536785662174225, 0.07947616279125214, -0.18457472324371338, -0.40182480216026306, -0.10904291272163391, -0.12223987281322479, -0.010323556140065193, -0.07010611146688461, -0.0030295392498373985, 0.10411026328802109, -0.19654816389083862, -0.08067674934864044, -0.037281833589076996, 0.13609416782855988, 0.017234815284609795, -0.02752562239766121, 0.19371944665908813, 0.0041337525472044945, -0.13849712908267975, 0.04374441131949425, 0.027997588738799095, 0.29887655377388, 0.17181183397769928, 0.00142932147718966, 0.05126200616359711, -0.04110930860042572, 0.11687483638525009, -0.1454201340675354, 0.1304681897163391, 0.13605467975139618, 0.14507898688316345, -0.03135930746793747, 0.07437538355588913, -0.09097780287265778, -0.005196172744035721, 0.17548885941505432, -0.18249088525772095, 0.04801400750875473, 0.04785286635160446, -0.053725436329841614, -0.06677837669849396, -0.07680028676986694, 0.2078932225704193, 0.17212264239788055, -0.10220153629779816, -0.06300811469554901, 0.17948554456233978, -0.047373831272125244, 0.011908403597772121, 0.07085518538951874, -0.16157659888267517, -0.21529147028923035, -0.30379778146743774, 0.16962650418281555, 0.4097743034362793, 0.1246008649468422, -0.19010014832019806, 0.03541779890656471, -0.11990413814783096, -0.03009001351892948, 0.0410071425139904, 0.028060076758265495, -0.14684507250785828, -0.009386792778968811, -0.10204407572746277, 0.05572422593832016, 0.15528205037117004, 0.10487475991249084, -0.05748942866921425, 0.19358471035957336, 0.010971817187964916, 0.007626865059137344, 0.07170213013887405, 0.025750741362571716, -0.12419527769088745, -0.04210952669382095, -0.1401687115430832, -0.038414664566516876, 0.07658033072948456, -0.10476936399936676, -0.018331630155444145, 0.047613587230443954, -0.21838033199310303, 0.11687082052230835, 0.03718465194106102, -0.021464580669999123, 0.004045012407004833, 0.04733041301369667, -0.06602261960506439, -0.04754559323191643, 0.14271488785743713, -0.2595822811126709, 0.12656767666339874, 0.13040530681610107, 0.08851931244134903, 0.23020130395889282, 0.12922883033752441, 0.044873565435409546, -0.03575177118182182, -0.025178268551826477, -0.10684946924448013, -0.019939729943871498, 0.09305228292942047, 0.005692795850336552, 0.1323726922273636, 0.08910685032606125]
9	& C:/Users/vinit/AppData/Local/Microsoft/WindowsApps/python3.10.exe c:/Users/vinit/Desktop/upflairs/day-9_face-register.py	[-0.1709689348936081, 0.014505003578960896, 0.10250920057296753, -0.025134451687335968, -0.07787555456161499, -0.08712317794561386, -0.04583608731627464, -0.10275614261627197, 0.11076372861862183, -0.020009692758321762, 0.2738843262195587, -0.015548663213849068, -0.1997150331735611, -0.10975601524114609, 0.03246006369590759, 0.06397762894630432, -0.1284654438495636, -0.0704730749130249, -0.05681592971086502, -0.15473170578479767, -0.024345986545085907, 0.02121022343635559, 0.0801619291305542, 0.060003381222486496, -0.20379260182380676, -0.36983078718185425, -0.09306638687849045, -0.13273338973522186, -0.004738636314868927, -0.03624320775270462, 0.030644405633211136, 0.07809647917747498, -0.2381434589624405, -0.09507550299167633, -0.04182036966085434, 0.11897122859954834, 0.03492830693721771, -0.02770337089896202, 0.15593376755714417, 0.028382325544953346, -0.12995178997516632, 0.0358838215470314, 0.034260645508766174, 0.25938287377357483, 0.17925159633159637, 0.04070049524307251, 0.02677396684885025, 0.01944669522345066, 0.048047054558992386, -0.15900078415870667, 0.09088508784770966, 0.12832172214984894, 0.14633280038833618, -0.059398502111434937, 0.017942316830158234, -0.09018246829509735, -0.0017667338252067566, 0.11760646849870682, -0.22682107985019684, 0.02968806028366089, 0.07826673984527588, -0.07067722082138062, -0.04828565567731857, -0.02966773882508278, 0.19582517445087433, 0.1552356630563736, -0.07863070070743561, -0.034666553139686584, 0.1494714468717575, -0.113149493932724, -0.021534014493227005, 0.03620895743370056, -0.16364389657974243, -0.156421959400177, -0.3281223773956299, 0.11034651845693588, 0.38820308446884155, 0.08905702829360962, -0.17439502477645874, -0.007895120419561863, -0.12490550428628922, 0.026142627000808716, 0.020249374210834503, -0.0012864409945905209, -0.10267071425914764, -0.02927607111632824, -0.11812485754489899, 0.06175922602415085, 0.13092046976089478, 0.07232698798179626, -0.048977240920066833, 0.19173172116279602, 0.018209144473075867, -0.017723020166158676, 0.0725172907114029, 0.029341381043195724, -0.11818935722112656, -0.05080016702413559, -0.11440630257129669, -0.016727415844798088, 0.04713202267885208, -0.07902426272630692, 0.024272818118333817, 0.07509632408618927, -0.22076264023780823, 0.11699055135250092, 0.01756882667541504, -0.08014260232448578, 0.02802427113056183, 0.041632913053035736, -0.06562221050262451, -0.07564172148704529, 0.15154077112674713, -0.2146221548318863, 0.13645677268505096, 0.1653459519147873, 0.016707399860024452, 0.20608149468898773, 0.06157409027218819, 0.07347434014081955, -0.09140627086162567, 0.013787852600216866, -0.11122170835733414, -0.07547535002231598, 0.027414755895733833, -0.042044006288051605, 0.14282071590423584, 0.07882683724164963]
